,SMILES
110,C=CCN1CC[C@]23c4c5ccc(OC(C)=O)c4O[C@H]2[C@@H](OC(C)=O)C=C[C@H]3[C@H]1C5
111,Cl.NCCCC[C@H](N)C(=O)O
112,CCCCC(=O)OC1C(C=O)=CC(O)C(O)C1O
113,CCCCCCCCCCCCCCCC[N+](C)(C)CC
114,CN(C)CCN1CCC(Cc2ccccc2)CC1
115,COc1cc(NCCCCCNC(C)C)c2ncccc2c1
116,Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2
117,CCOC(=O)[C@H](C)NP(=O)(COCCn1cnc2c(NC3CC3)nc(N)nc21)N[C@@H](C)C(=O)OCC
118,CCOC(=O)C1=C(C)NC(CN(C)C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
119,c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2
120,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)cc1
121,COC(=O)c1c2n(c3ccccc13)Cc1ccccc1N1CCN(C)CC21
122,CN(C)CC/C=C1/c2ccccc2COc2ccccc21
123,CCOC(=O)[C@@H](N)Cc1ccc(O)cc1
124,c1ccc(C2(c3ccccc3)OC[C@@H]([C@H]3CCCCN3)O2)cc1
125,COc1cc(NCCNC(=O)/C=C/C(C)(F)F)ccn1
126,OC(CN1CCCCC1)c1cc(-c2ccccc2)on1
127,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2
128,CNC(=O)c1c(I)c(NC(=O)CCCCCCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I
129,Cc1[nH]cnc1C[C@H]1CCc2c(c3ccccc3n2C)C1=O
130,c1ccc(OCC2=Nc3cnccc3NN2)cc1
131,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
132,Fc1ccc2c(c1)C(OCc1c(F)cccc1F)C(Cn1ccnc1)S2
133,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)CC(=O)N[C@H](C(=O)NC(O[C@@H]1O[C@@H](C)[C@@H](N)[C@@H](O)[C@H]1O)C(O)c1nc(-c2nc(C(=O)NCCCC(N)CC(=O)NCCCNCCCCN)cs2)cs1)[C@@H](C)O)[C@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1
134,CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C
135,COc1cc(O)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)[C@@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1OC)[C@H](OC)[C@](C)(O)C3=O
